drug_a,drug_b,severity,description,mechanism,source
Warfarin,Aspirin,high,"Concurrent use significantly increases risk of major bleeding events including GI hemorrhage","Both drugs inhibit hemostasis: warfarin inhibits vitamin K-dependent clotting factors while aspirin irreversibly inhibits platelet COX-1","OpenFDA label section 7.1; DrugBank DB00682-DB00945"
Warfarin,Ibuprofen,high,"NSAIDs increase anticoagulant effect and risk of GI bleeding when combined with warfarin","Ibuprofen inhibits platelet function and may displace warfarin from protein binding sites","OpenFDA warfarin label; PMID:15266542"
Warfarin,Metronidazole,moderate,"Metronidazole inhibits warfarin metabolism leading to increased INR and bleeding risk","Metronidazole inhibits CYP2C9 which metabolizes S-warfarin","DrugBank DB00916; FDA MedWatch"
Metformin,Contrast Dye,high,"Risk of lactic acidosis when metformin is combined with iodinated contrast media","Contrast media can cause acute kidney injury reducing metformin clearance leading to accumulation","ACR Manual on Contrast Media; PMID:26541880"
Metformin,Alcohol,moderate,"Excessive alcohol intake with metformin increases risk of lactic acidosis","Alcohol potentiates the effect of metformin on lactate metabolism","OpenFDA metformin label section 5.1"
Metformin,Furosemide,moderate,"Furosemide may increase metformin plasma levels; metformin may decrease furosemide levels","Competitive renal tubular secretion between the two drugs","DrugBank DB00331-DB00695"
Ciprofloxacin,Antacids,moderate,"Antacids containing aluminum or magnesium significantly reduce ciprofloxacin absorption","Metal cations form chelation complexes with ciprofloxacin reducing bioavailability by up to 90%","OpenFDA ciprofloxacin label section 7; PMID:2674640"
Ciprofloxacin,Theophylline,high,"Ciprofloxacin inhibits theophylline metabolism leading to toxic theophylline levels","Ciprofloxacin inhibits CYP1A2 which is the primary enzyme metabolizing theophylline","OpenFDA label; DrugBank DB00537"
Ciprofloxacin,Warfarin,moderate,"Ciprofloxacin may enhance anticoagulant effect of warfarin","Inhibition of CYP1A2 and possible alteration of gut flora reducing vitamin K synthesis","FDA drug interaction guidance; PMID:8863790"
Amoxicillin,Methotrexate,high,"Amoxicillin may increase methotrexate toxicity through reduced renal clearance","Penicillins compete with methotrexate for renal tubular secretion","DrugBank DB00563-DB00563; PMID:20886620"
Amoxicillin,Warfarin,moderate,"Amoxicillin may enhance anticoagulant effect by altering gut flora","Disruption of vitamin K-producing intestinal bacteria","OpenFDA amoxicillin label; clinical case reports"
Omeprazole,Clopidogrel,high,"Omeprazole significantly reduces antiplatelet effect of clopidogrel increasing cardiovascular risk","Omeprazole inhibits CYP2C19 which is required to convert clopidogrel prodrug to active metabolite","FDA safety communication 2009; PMID:19106083"
Omeprazole,Methotrexate,moderate,"Omeprazole may increase methotrexate serum levels","Inhibition of renal H+/K+ ATPase may reduce methotrexate elimination","OpenFDA omeprazole label; PMID:22391685"
Omeprazole,Iron Supplements,low,"Omeprazole reduces absorption of oral iron supplements","Gastric acid suppression reduces conversion of ferric to ferrous iron needed for absorption","OpenFDA label; PMID:15673486"
Atorvastatin,Clarithromycin,high,"Clarithromycin increases atorvastatin exposure leading to increased risk of rhabdomyolysis","Clarithromycin strongly inhibits CYP3A4 which metabolizes atorvastatin","OpenFDA atorvastatin label; DrugBank DB01211"
